CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
53390	57855	27	0.9147	-14.015
52871	60180	27	0.907	-14.016
57663	61078	27	0.9024	-31.100
56028	57288	27	0.8756	-60.055
48887	49630	27	0.9117	-1.002
48887	53166	27	0.9102	-149.103
52828	59749	27	0.9382	3.018
55594	60259	27	0.9636	-14.016
51699	60041	27	0.9308	-41.014
52856	53390	27	0.9522	44.027
60254	71774	27	0.9397	60.020
52828	57288	27	0.9768	-14.019
53166	55578	27	0.919	-44.026
56439	60631	27	0.8946	-14.016
51811	76986	27	0.9324	-53.052
57663	61896	27	0.8974	-14.073
58090	59768	27	0.959	17.028
48093	48887	27	0.9312	-44.027
53166	55456	27	0.9339	-26.994
60254	74762	27	0.9228	15.998
52854	54938	27	0.9318	-44.023
51699	55594	27	0.9542	44.027
61936	76986	27	0.9079	1.974
52854	53166	27	0.9275	-105.077
69379	80228	27	0.9182	-28.031
52871	55456	27	0.9168	-159.076
52856	63278	27	0.9167	-28.028
51811	70213	27	0.8963	-42.047
51811	53980	27	0.9042	17.026
56866	61896	27	0.9063	3.013
56028	59148	27	0.9064	-60.048
56028	63306	27	0.8908	-13.014
52997	74066	27	0.911	46.003
60041	60259	27	0.9221	71.024
51699	60259	27	0.922	30.010
59012	72026	27	0.9177	16.998
58090	60286	27	0.9235	88.053
61896	61936	27	0.8974	-44.022
62007	63278	27	0.9042	26.995
52997	55594	27	0.9451	-61.056
58230	59768	27	0.945	61.055
52871	56865	27	0.9141	3.005
51811	61078	27	0.909	-28.031
55456	59749	27	0.9219	74.033
48887	52854	27	0.9399	-44.026
55594	60041	27	0.9355	-85.040
71774	72026	27	0.9296	-61.054
59148	59331	27	0.9526	-71.025
62007	80069	27	0.8959	45.999
59148	62007	27	0.9093	-40.004
52854	59749	27	0.9413	-58.038
53390	59629	27	0.9057	3.011
59012	59331	27	0.9329	17.027
58667	59749	27	0.9475	61.054
54938	59012	27	0.9159	-119.096
59768	60259	27	0.9689	26.998
54938	59749	27	0.916	-14.014
52997	54277	27	0.9374	-44.025
60259	60286	27	0.9353	44.027
54938	59331	27	0.9108	-102.069
60254	60286	27	0.9184	26.998
51811	52856	27	0.903	-88.055
53209	54938	27	0.9235	44.023
56028	61813	27	0.9086	31.019
58110	74110	27	0.9152	-27.025
53209	59455	27	0.9097	-14.014
54938	55456	27	0.9162	-88.048
57855	59629	27	0.8991	17.027
51699	54277	27	0.9359	61.058
71774	74066	27	0.9371	44.027
54474	59629	27	0.9079	-14.017
60631	61896	27	0.8995	-44.024
60631	80119	27	0.8631	1.979
